,WeekDay,Director,Genre,MovieTitle,ReleaseDate,Studio,AdjustedGrossMillions,BudgetMillions,GrossMillions,IMDbRating,MovieLensRating,OverseasMillions,OverseasPercent,ProfitMillions,ProfitPercent,RuntimeMins,USMillions,GrossPercentUS
274,Friday,Chris Noonan,adventure,Babe,4/08/1995,Universal,396.5,30.0,254.1,6.8,3.65,190.5,75.0,224.1,747.0,89,63.7,25.0
278,Friday,Tim Story,action,Fantastic Four,8/07/2005,Fox,402.6,87.5,330.6,5.7,2.9,175.9,53.2,243.1,277.8,106,154.7,46.8
279,Friday,Matthew Vaughn,action,Kingsman: The Secret Service,13/02/2015,Fox,403.8,81.0,403.8,7.9,3.66,275.5,68.2,322.8,398.5,129,128.2,31.8
280,Wednesday,"Ron Clements, John Musker",animation,The Little Mermaid,15/11/1989,Buena Vista Studios,405.2,40.0,211.3,6.6,3.24,99.8,47.2,171.3,428.3,83,111.5,52.8
282,Friday,Bryan Singer,action,X-Men,14/07/2000,Fox,409.2,200.0,296.3,7.4,3.59,139,46.9,96.3,48.2,131,157.3,53.1
284,Friday,Joe Johnston,adventure,Jumanji,15/12/1995,Sony,410.1,65.0,262.8,6.8,3.22,162.3,61.8,197.8,304.3,104,100.5,38.2
285,Friday,Rupert Sanders,action,Snow White and the Huntsman,1/06/2012,Universal,410.8,170.0,396.6,6.1,2.99,241.3,60.8,226.6,133.3,127,155.3,39.2
286,Thursday,Joseph McGinty Nichol,action,Terminator Salvation,21/05/2009,WB,411.7,200.0,371.4,6.7,3.27,246,66.3,171.4,85.7,115,125.3,33.7
288,Friday,"Kevin Reynolds, Kevin Costner",action,Waterworld,28/07/1995,Universal,412.3,175.0,264.2,6.1,2.86,176,66.6,89.2,51.0,136,88.2,33.4
290,Friday,Gavin Hood,action,X-Men Origins: Wolverine,1/05/2009,Fox,413.6,150.0,373.1,6.7,3.33,193.2,51.8,223.1,148.7,107,179.9,48.2
291,Friday,Tim Hill,animation,Alvin and the Chipmunks,14/12/2007,Fox,414.5,55.0,361.3,5.3,2.54,144,39.9,306.3,556.9,92,217.3,60.1
